"Guid","AccountNumber","AccountSource","AnnualRevenue","BillingCity","BillingCountry","BillingGeocodeAccuracy","BillingLatitude","BillingLongitude","BillingPostalCode","BillingState","BillingStreet","CPQ_Only_Demo__c","Calculate_Tax__c","Contracting_Automation__c","CurrencyIsoCode","Description","Fax","Industry","IsCustomerPortal","IsPartner","Jigsaw","Name","NumberOfEmployees","Ownership","ParentId","Phone","Rating","SBQQ__AssetQuantitiesCombined__c","SBQQ__CoTermedContractsCombined__c","SBQQ__CoTerminationEvent__c","SBQQ__ContractCoTermination__c","SBQQ__IgnoreParentContractedPrices__c","SBQQ__PreserveBundle__c","SBQQ__PriceHoldEnd__c","SBQQ__RenewalModel__c","SBQQ__RenewalPricingMethod__c","SBQQ__TaxExempt__c","Segment__c","ShippingCity","ShippingCountry","ShippingGeocodeAccuracy","ShippingLatitude","ShippingLongitude","ShippingPostalCode","ShippingState","ShippingStreet","Sic","SicDesc","Site","TickerSymbol","Type","Website"
004d45d4-dffe-4df4-9a60-b32417f09c48,"#N/A","#N/A","#N/A",Honolulu,USA,"#N/A","#N/A","#N/A",96884,Hawaii,3482 Misty Nectar Quay,false,false,Opportunity Close,USD,"#N/A","#N/A",Machinery,false,false,"#N/A",McMahon and Tate,"#N/A","#N/A","#N/A",(808) 973-6629,"#N/A",false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,"#N/A","#N/A",Honolulu,USA,"#N/A","#N/A","#N/A",96884,Hawaii,3482 Misty Nectar Quay,"#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
00abbe86-724c-4a2a-98dd-5a480d9d48f4,"#N/A","#N/A","#N/A",Boca Raton,USA,"#N/A","#N/A","#N/A",33331,Florida,6700 Indian Timber Ledge,false,false,Opportunity Close,USD,"#N/A","#N/A",Communications,false,false,"#N/A",Three Waters,"#N/A","#N/A","#N/A",(904) 661-0568,"#N/A",false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,"#N/A","#N/A",Boca Raton,USA,"#N/A","#N/A","#N/A",33331,Florida,6700 Indian Timber Ledge,"#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
00c28141-ebf0-48e9-9369-9dcfba8a5cc0,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,Manual,USD,"#N/A","#N/A","#N/A",false,false,"#N/A",Knox Productions,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,"#N/A","#N/A",false,false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
00c3e2d9-0d0f-49ba-bf63-1d262c51cc2a,"#N/A","#N/A","#N/A",Jackson,USA,"#N/A","#N/A","#N/A",39209,Mississippi,3381 Fallen Fawn Route,false,false,Opportunity Close,USD,"#N/A","#N/A",Food & Beverage,false,false,"#N/A",Globex Corporation,"#N/A","#N/A","#N/A",(769) 175-5364,"#N/A",false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,"#N/A","#N/A",Jackson,USA,"#N/A","#N/A","#N/A",39209,Mississippi,3381 Fallen Fawn Route,"#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
0111cd9d-f074-4f49-b079-9d3299a2f9ac,"#N/A","#N/A","#N/A",Boston,USA,"#N/A","#N/A","#N/A",02729,Massachusetts,7649 Quiet Berry Hill,false,false,Opportunity Close,USD,"#N/A","#N/A",Biotechnology,false,false,"#N/A",Strickland Propane,"#N/A","#N/A","#N/A",(508) 259-1323,"#N/A",false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,"#N/A","#N/A",Boston,USA,"#N/A","#N/A","#N/A",02729,Massachusetts,7649 Quiet Berry Hill,"#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
01a0769d-07c4-4b1d-868b-54edee7e8679,123412542356,"#N/A",2.0E10,Chicago,United States,"#N/A","#N/A","#N/A",60654,IL,123 West Illinois Street,false,false,Manual,USD,"JG Financial Bank N.A. is a Chicago-based commercial bank with approximately $20 billion in assets and a more than one hundred year history of building deep and lasting relationships with middle-market companies and individuals. 

JG Financial Bank offers a full range of powerful financial solutions and the expertise and experience of bankers who are focused on their clients’ success. 

JG Financial Bank is a wholly-owned subsidiary of JG Financial, Inc. (NASDAQ: MBFI). Member FDIC. Equal Housing Lender.","#N/A",Banking,true,false,"#N/A",JG Financial,3000,"#N/A","#N/A",(888) 422-6562,"#N/A",false,true,Add-on,Always,false,true,"#N/A",Contract Based,Same,No,"#N/A",Chicago,United States,"#N/A","#N/A","#N/A",60654,IL,123 West Illinois Street,"#N/A","#N/A",Chicago IL,"#N/A",Prospect,https://www.jgfinancial.com/
01e38eba-8a59-415b-a8a3-84cc667d94c8,"#N/A","#N/A",1.0E8,New York,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,false,false,Manual,USD,"#N/A",(212) 555-5555,Manufacturing,false,false,"#N/A",Acme,680,"#N/A","#N/A",(212) 555-5555,"#N/A",false,false,"#N/A","#N/A",false,false,"#N/A","#N/A","#N/A","#N/A","#N/A",New York,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,"#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
01f2b346-2993-423e-9641-3dec0efe0840,16,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,Manual,USD,"#N/A","#N/A","#N/A",false,false,"#N/A",Northside Hospital,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,"#N/A",Never,false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
024cff9e-8d81-49f8-a39e-045264cfc69c,"#N/A","#N/A","#N/A",Charlotte,United States,"#N/A","#N/A","#N/A",28202,NC,800 South Mint Street,false,false,Manual,USD,"#N/A",(704) 358-7001,Manufacturing,false,false,"#N/A",Federation Industries,"#N/A","#N/A","#N/A",(704) 358-7000,"#N/A",false,false,"#N/A","#N/A",false,false,"#N/A","#N/A","#N/A","#N/A","#N/A",Charlotte,United States,"#N/A","#N/A","#N/A",28202,NC,800 South Mint Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
025da7ce-128c-4d3d-97a1-65ff68cd1cf9,655741744,"#N/A","#N/A",Irvine,"#N/A","#N/A","#N/A","#N/A",92618,CA,400 Spectrum Center Drive,false,false,Opportunity Close,USD,"#N/A","#N/A","#N/A",false,false,"#N/A",Irvine Company - Orange County,"#N/A","#N/A",31ddf388-f475-4ce5-ae19-ad4d7d67206e,"#N/A","#N/A",false,false,Add-on,Prompt,false,true,"#N/A",Contract Based,Same,No,"#N/A",Irvine,"#N/A","#N/A","#N/A","#N/A",92618,CA,400 Spectrum Center Drive,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
0294df6b-b1a1-4211-8c09-21aaf3c531d9,"#N/A","#N/A","#N/A",Aurora,USA,"#N/A","#N/A","#N/A",80015,CO,5600 S Chambers Rd,false,false,Manual,USD,"#N/A","#N/A",Construction,false,false,"#N/A",Home Depot - Rocky Mountains,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,"#N/A","#N/A",false,false,"#N/A","#N/A","#N/A","#N/A","#N/A",Aurora,USA,"#N/A","#N/A","#N/A",80015,CO,5600 S Chambers Rd,"#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
02b465a3-3a9f-4775-883f-775305ba7c36,"#N/A","#N/A","#N/A",Jackson,USA,"#N/A","#N/A","#N/A",39209,Mississippi,3381 Fallen Fawn Route,false,false,Manual,USD,"#N/A","#N/A",Food & Beverage,false,false,"#N/A",Globex Corporation,"#N/A","#N/A","#N/A",(769) 175-5364,"#N/A",false,false,"#N/A","#N/A",false,false,"#N/A","#N/A","#N/A","#N/A","#N/A",Jackson,USA,"#N/A","#N/A","#N/A",39209,Mississippi,3381 Fallen Fawn Route,"#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
02cf3970-8f50-47f7-87bb-2d1154883a0c,"#N/A","#N/A",1.0E8,London,United Kingdom,"#N/A","#N/A","#N/A",W6 0QW,"#N/A",100 King Street,false,false,Manual,USD,"#N/A","#N/A",Electronics,false,false,"#N/A",Zaptech,350,"#N/A","#N/A",07815916372,"#N/A",false,false,"#N/A","#N/A",false,false,"#N/A","#N/A","#N/A","#N/A","#N/A",London,United Kingdom,"#N/A","#N/A","#N/A",W6 0QW,"#N/A",100 King Street,"#N/A","#N/A","#N/A","#N/A",Customer,www.zaptech.com
0371db59-52e0-4184-9bf8-138ada7bdac8,1234567890,"#N/A",1.0E7,London,United Kingdom,"#N/A","#N/A","#N/A",EC2N 3AQ,"#N/A",1 Bishopsgate,false,false,Manual,GBP,"#N/A","#N/A",Professional Services,false,false,"#N/A",Poch Technologies,15000,"#N/A","#N/A","#N/A","#N/A",false,false,Add-on,Prompt,false,true,"#N/A",Contract Based,Same,No,"#N/A",London,United Kingdom,"#N/A","#N/A","#N/A",EC2N 3AQ,"#N/A",1 Bishopsgate,"#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
037750c4-fdc1-46ea-b0bf-2e556b6293c0,"#N/A","#N/A","#N/A",Honolulu,USA,"#N/A","#N/A","#N/A",96772,Hawaii,9565 Golden Mount,false,false,Opportunity Close,USD,"#N/A","#N/A",Manufacturing,false,false,"#N/A",Sirius Cybernetics Corporation,"#N/A","#N/A","#N/A",(808) 069-1682,"#N/A",false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,"#N/A","#N/A",Honolulu,USA,"#N/A","#N/A","#N/A",96772,Hawaii,9565 Golden Mount,"#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
045758d0-7179-4902-a8ed-1b4f4156818f,123456,"#N/A","#N/A",Swampscott,United States,"#N/A","#N/A","#N/A",01907,MA,12 Estabrook Rd,false,false,Manual,USD,"#N/A","#N/A",High Tech,false,false,"#N/A",North Shore SAAS,"#N/A","#N/A","#N/A",9782393909,"#N/A",false,false,"#N/A",Always,false,true,"#N/A",Contract Based,Same,No,"#N/A",Swampscott,United States,"#N/A","#N/A","#N/A",01907,MA,12 Estabrook Rd,"#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
